,Title,Published_date,Views,Likes,Dislikes,Comments,Month
135,यह लोग दिखते तो अमीर हैं लेकिन होते नहीं! RICH VS WEALTHY | 6 DIFFERENCES BETWEEN RICH & WEALTHY,27-06-2021,293257,12546,0,341,Jun
136,पैसे से पैसा कमाना सीखो यह विडिओ आपको पैसे से पैसा कमाना सीखा देगी - THE INTELLIGENT INVESTOR YEBOOK,01-06-2021,1608892,41470,0,523,Jun
137,एवरेज बन कर जीना बंद करो! Can't Hurt Me by David Goggins Book Summary in Hindi | Yebook,19-04-2021,250619,21379,0,400,Apr
138,गरीबों की तरह जीना बंद करो! | How to Achieve Financial Freedom | Total Money Makeover by Dave Ramsey,11-04-2021,611170,38908,0,624,Apr
139,7 Things Make You Attractive | 7 चीज़ें आपको बना देंगी Attractive | 50 Things a Gentleman Should Know,04-04-2021,357825,21641,0,366,Apr
140,घबराना मत! 7 तरीके हैं लोगों को जीतने के | 25 WAYS TO WIN WITH PEOPLE BY JOHN C MAXWELL BOOK SUMMARY,28-03-2021,176287,11938,0,358,Mar
141,ज्यादा होशियार लोगों की होशियारी से बच कर रहना! 🐍 NEVER TRUST SIX KIND OF PEOPLE | COVERT NARCISSISM,17-03-2021,193169,11713,0,695,Mar
142,डरते डरते बात करना बंद करो | SOCIAL SKILLS की TECHNIQUES से बिलकुल बदल जाओगे | COMMUNICATION SKILLS,03-03-2021,354175,22510,0,428,Mar
143,आत्मविश्वास के 5 नियम सीख गए तो बिलकुल बदल जाओगे | HOW TO BE CONFIDENT? YOU GOT THIS BY IVAN JOSEPH,20-02-2021,187166,15375,0,400,Feb
144,असली COOL Vs नकली COOL | 10 HABITS OF REAL COOL PEOPLE | FAKE VS REAL COOL PEOPLE | yebook,14-02-2021,112347,9077,0,299,Feb
145,25 बातें बनाती हैं AVERAGE से AMAZING! 25 METHODS TO BE EXTRAORDINARY | YEBOOK,07-02-2021,294665,20207,0,569,Feb
146,Jordon Peterson की एक बात मान लो दूसरों से बहुत आगे निकल जाओगे!,05-02-2021,226736,14212,0,389,Feb
147,10 चीज़ें आपको बनाती हैं अमीर | 10 THINGS THAT THAT MAKES YOU RICH | RICH VS POOR,31-01-2021,267136,20571,0,423,Jan
148,किस में है दम? | MUSK VS KALAM | इलॉन मस्क vs एपीजे अब्दुल कलाम | Iron Man Vs Missile Man of India,27-01-2021,83321,7660,0,305,Jan
149,"Interesting बातें करना सीखो | How Talk Like RJ, VJ and TV Anchors | Communication Skills in Hindi",23-01-2021,273116,16687,0,354,Jan
150,3 SIGNS आप अमीर बनोगे या नहीं? | 3 Signs That You Will Become Rich One Day | Yebook,20-01-2021,110553,9752,0,339,Jan
151,THIS is My BIGGEST SECRET to SUCCESS! | Warren Buffet Success Rules,17-01-2021,94435,8487,0,247,Jan
152,एक रोमन सम्राट की तरह सोचना सीखो | MEDITATIONS BY MARCUS AURELIUS BOOK SUMMARY IN HINDI BY YEBOOK,13-01-2021,187292,13736,0,369,Jan
153,SCAM 1992 से धंधा करना सीखो | AMAZING BUSINESS LESSONS FROM SCAM 1992 WEB SERIES,10-01-2021,274186,19046,0,482,Jan
154,इस किताब की बातें आपकी ज़िन्दगी बदल देंगी | CHANGING YOUR STORY CAN CHANGE YOUR LIFE | BRUCE LIPTON,07-01-2021,211199,16146,0,416,Jan
155,गरीबों की तरह जीना छोड़ दो! | SMALL THINGS CAN MAKE YOU RICH | RICH DAD POOR DAD BY ROBER,04-01-2021,1461258,80071,0,1426,Jan
156,पैसा अच्छा होता है या बुरा? #shorts #youtubeshorts,26-12-2020,236564,22289,0,437,Dec
157,"अमीरों की तरह सोचो, अमीरों की 6 आदतें जिन्हें गरीब बुरा समझते हैं | TRY FOR 21 DAYS HABITS OF RICH",20-12-2020,451189,25432,0,3604,Dec
158,यह किताब लड़ना सिखा देगी! THE LAWS OF HUMAN NATURE BY ROBERT GREENE SUMMARY IN HINDI | YEBOOK,13-12-2020,349747,21348,0,357,Dec
159,असली मर्दों की 13 निशानियाँ | The Way of The Superior Man by David Deida | 13 Rules For Men in Hindi,29-11-2020,590869,47293,0,1080,Nov
160,अच्छे से बात करने के 7 नियम | 7 Ways to Make a Conversation With Anyone | Communication Skills,27-11-2020,348802,17294,0,412,Nov
161,लड़कियों को समझना सीखो | The Way of The Superior Man by David Deida in Hindi | yebook,08-11-2020,310775,22097,0,598,Nov
162,Problems will not go anywhere. #shorts #youtubeshorts,04-11-2020,250994,15446,0,325,Nov
163,"6 काम करो, हर कोई इज्ज़त करेगा | The Six Pillars of Self Esteem by Nathaniel Branden in Hindi | yeboo",01-11-2020,347051,28087,0,659,Nov
